STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SAS,South Asia,WB_FINDEX_FIN22A_22A1_22G_D,Borrowed any money from a formal bank or similar financial institution or using a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,14.1895422140983,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SAS,South Asia,WB_FINDEX_FIN27A,Made a digital online merchant payment for an online purchase,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,NOR,Norway,WB_FINDEX_FIN42_ACC,Received payments for agricultural products: into an account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_Q1T2,Income Level: Poorest 40%,_T,Total,_T,Total,2014,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,DZA,Algeria,WB_FINDEX_FIN22H,Paid off all credit card balances in full by their due date,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,ARG,Argentina,WB_FINDEX_FIN40A,Government transfer or pension: take out all cash at once,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,UMC,Upper middle income,WB_FINDEX_FIN37_39B,Received government transfer: through a mobile phone,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2014,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BWA,Botswana,WB_FINDEX_FING2P_MOB,Received government payments: through a mobile phone,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2014,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,IDN,Indonesia,WB_FINDEX_FIN31A,Made a utility payment: using a bank or similar financial institution account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP_PAY_UT,Percentage of respondents who paid utility bills,_T,Total,_T,Total,_T,Total,2021,13.987808557764058,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KAZ,Kazakhstan,WB_FINDEX_FIN43C,Received payments for agricultural products: in cash only,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COD,"Congo, Dem. Rep.",WB_FINDEX_CON12W,Weekly mobile phone use,_T,Total,Y_GE15,15 years old and over,URB,Urban area,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LMC,Lower middle income,WB_FINDEX_FIN32_33_34A,Received public sector wages: into a bank or similar financial institution account,_T,Total,Y_GE15,15 years old and over,RUR,Rural area,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,HRV,Croatia,WB_FINDEX_ACCOUNT_T_D,Account ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_GE_Q3,Income Level: Richest 60%,_T,Total,_T,Total,2014,90.7560177919006,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LMC,Lower middle income,WB_FINDEX_FIN38,Received a public sector pension,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GIN,Guinea,WB_FINDEX_FIN22A,Borrowed from a formal bank or similar financial institution,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2014,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,DNK,Denmark,WB_FINDEX_FIN37_39_ACC,Received government transfer: into an account,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,TCD,Chad,WB_FINDEX_FIN30,Made a utility payment,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,ISCED11_GE_2_3,Education: Secondary education or more,2017,14.2723276392619,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,UGA,Uganda,WB_FINDEX_FIN13_1A,Mobile money account meets financial needs,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,24.4707582242002,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,CIV,Cote d'Ivoire,WB_FINDEX_FIN24FAM_VD,"Main source of emergency funds in 30 days: family or friends, possible and very difficult",_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,20.6102606809315,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SVK,Slovak Republic,WB_FINDEX_FIN17A,Saved at a bank or similar financial institution,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2011,18.3199153218565,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,HRV,Croatia,WB_FINDEX_FIN31A,Made a utility payment: using a bank or similar financial institution account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2014,9.81663947321446,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MUS,Mauritius,WB_FINDEX_FING2P_CARD,Received government payments: to a card,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,NZL,New Zealand,WB_FINDEX_FIN26B,Used a mobile phone or the internet to buy something online,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,ISL,Iceland,WB_FINDEX_FIN32_N33_34B,Received private sector wages: through a mobile phone,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_Q1T2,Income Level: Poorest 40%,_T,Total,_T,Total,2021,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COL,Colombia,WB_FINDEX_CON31H,Does not own a smartphone because they don't need one,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP_NSPH,Percentage of respondents that are non-smartphone owners,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,VEN,"Venezuela, RB",WB_FINDEX_FIN32_33_34B,Received public sector wages: through a mobile phone,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GEO,Georgia,WB_FINDEX_FIN32,Received wages,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,33.3455469404399,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GRC,Greece,WB_FINDEX_FIN32_33_34D,Received public sector wages: to a card,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_Q1T2,Income Level: Poorest 40%,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MLI,Mali,WB_FINDEX_FIN22A_1,Borrowed from a mobile money provider,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,2.82503306207861,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KAZ,Kazakhstan,WB_FINDEX_FIN26A,Used a mobile phone or the internet to pay bills,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2017,21.9852783259978,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,FIN,Finland,WB_FINDEX_FIN34B,Received wages: through a mobile phone,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,ISCED11_0T1,Education: Primary education or less,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,PSE,West Bank and Gaza,WB_FINDEX_FIN24SAV,Main source of emergency funds in 30 days: savings,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_GE_Q3,Income Level: Richest 60%,_T,Total,_T,Total,2024,13.8474856924495,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,IRL,Ireland,WB_FINDEX_FIN32_N33_34D,Received private sector wages: to a card,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2021,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,UZB,Uzbekistan,WB_FINDEX_FIN38_39C,Received a public sector pension: in cash only,_T,Total,Y_GE15,15 years old and over,URB,Urban area,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GAB,Gabon,WB_FINDEX_FIN34B,Received wages: through a mobile phone,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COL,Colombia,WB_FINDEX_FIN24FAM,Main source of emergency funds in 30 days: family or friends,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,43.909830415629806,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SVK,Slovak Republic,WB_FINDEX_FING2P_FIN,Received government payments: into a bank or similar financial institution account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,ISCED11_0T1,Education: Primary education or less,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MDG,Madagascar,WB_FINDEX_FIACCOUNT_T_D,Bank or similar financial institution account,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MRT,Mauritania,WB_FINDEX_FIN24SAV,Main source of emergency funds in 30 days: savings,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2022,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SRB,Serbia,WB_FINDEX_FIN32_33,Received public sector wages,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2024,1.01013114280753,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LBN,Lebanon,WB_FINDEX_FIN26A,Used a mobile phone or the internet to pay bills,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,NER,Niger,WB_FINDEX_FIN38_39C,Received a public sector pension: in cash only,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_INWORK,Employment: In the workforce/labor force,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,AFG,Afghanistan,WB_FINDEX_FIN32_33_34C,Received public sector wages: in cash only,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2014,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,ARG,Argentina,WB_FINDEX_CON30B,Sent a photo in past three months,F,Female,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,69.5261538900924,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SWE,Sweden,WB_FINDEX_FIN24FAM_VD,"Main source of emergency funds in 30 days: family or friends, possible and very difficult",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,1.82458257842171,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,ZMB,Zambia,WB_FINDEX_FIN32_N33,Received private sector wages,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2017,7.08733665499151,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BEN,Benin,WB_FINDEX_FIN17F,Saved for old age,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_Q1T2,Income Level: Poorest 40%,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,EST,Estonia,WB_FINDEX_FIN31B,Made a utility payment: using a mobile phone,M,Male,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KEN,Kenya,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_Q1T2,Income Level: Poorest 40%,_T,Total,_T,Total,2024,18.5961998795713,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MNE,Montenegro,WB_FINDEX_FIN17A,Saved at a bank or similar financial institution,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_OUTWORK,Employment: Out of the workforce/labor force,_T,Total,2011,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LAC,Latin America & Caribbean (excluding high income),WB_FINDEX_FIN37_39C,Received government transfer: cash only,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,INCOME_GE_Q3,Income Level: Richest 60%,_T,Total,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MNE,Montenegro,WB_FINDEX_FIN42_ACC,Received payments for agricultural products: into an account,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2017,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COL,Colombia,WB_FINDEX_SAVE_ANY_T_D,Saved any money,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2021,39.2170221189778,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LAC,Latin America & Caribbean (excluding high income),WB_FINDEX_FIN22A,Borrowed from a formal bank or similar financial institution,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,ISCED11_GE_2_3,Education: Secondary education or more,2014,31.1912520533548,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BGD,Bangladesh,WB_FINDEX_CON5B,Phone used was a basic text phone,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,LFP_INWORK,Employment: In the workforce/labor force,_T,Total,2024,,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,O,Missing value,PU,Public
